country,year,sex,age,suicides_no,population,suicides/100k pop
Austria,2013,female,15-24 years,20,496526,4.03
Austria,2013,female,5-14 years,3,400256,0.75
Austria,2013,male,5-14 years,1,420342,0.24
Austria,2014,male,75+ years,206,269625,76.4
Austria,2014,male,55-74 years,282,906857,31.1
Austria,2014,male,35-54 years,321,1280204,25.07
Austria,2014,female,75+ years,77,442472,17.4
Austria,2014,male,25-34 years,100,576126,17.36
Austria,2014,male,15-24 years,79,516580,15.29
Austria,2014,female,55-74 years,108,993973,10.87
Austria,2014,female,35-54 years,93,1276047,7.29
Austria,2014,female,25-34 years,29,566622,5.12
Austria,2014,female,15-24 years,17,493605,3.44
Austria,2014,male,5-14 years,2,419646,0.48
Austria,2014,female,5-14 years,0,399408,0.0
Austria,2015,male,75+ years,214,290329,73.71
Austria,2015,male,55-74 years,294,915115,32.13
Austria,2015,male,35-54 years,313,1279822,24.46
Austria,2015,female,75+ years,70,461676,15.16
Austria,2015,male,25-34 years,78,590968,13.2
Austria,2015,male,15-24 years,61,519646,11.74
Austria,2015,female,55-74 years,100,998854,10.01
Austria,2015,female,35-54 years,79,1273034,6.21
Austria,2015,female,15-24 years,19,490742,3.87
Austria,2015,female,25-34 years,21,576661,3.64
Austria,2015,female,5-14 years,1,400831,0.25
Austria,2015,male,5-14 years,1,421708,0.24
Austria,2016,male,75+ years,212,307692,68.9
Austria,2016,male,55-74 years,290,928992,31.22
Austria,2016,male,35-54 years,260,1281202,20.29
Austria,2016,male,25-34 years,86,605922,14.19
Austria,2016,female,75+ years,61,478267,12.75
Austria,2016,male,15-24 years,58,525977,11.03
Austria,2016,female,55-74 years,99,1009403,9.81
Austria,2016,female,35-54 years,95,1273241,7.46
Austria,2016,female,15-24 years,22,488020,4.51
Austria,2016,female,25-34 years,18,585913,3.07
Bahamas,2010,male,75+ years,1,3090,32.36
Bahamas,2010,female,15-24 years,2,31792,6.29
Bahamas,2010,male,35-54 years,3,50326,5.96
Bahamas,2010,male,55-74 years,1,21188,4.72
Bahamas,2010,female,55-74 years,1,25150,3.98
Bahamas,2010,male,15-24 years,1,31968,3.13
Bahamas,2010,female,35-54 years,1,53312,1.88
Bahamas,2010,female,25-34 years,0,28521,0.0
Bahamas,2010,female,5-14 years,0,26732,0.0
Bahamas,2010,female,75+ years,0,5772,0.0
Bahamas,2010,male,25-34 years,0,28398,0.0
Bahamas,2010,male,5-14 years,0,27620,0.0
Bahamas,2011,male,55-74 years,1,22178,4.51
Bahamas,2011,female,25-34 years,1,29138,3.43
Bahamas,2011,male,15-24 years,1,32343,3.09
Bahamas,2011,male,35-54 years,1,50932,1.96
Bahamas,2011,female,15-24 years,0,32120,0.0
Bahamas,2011,female,35-54 years,0,53821,0.0
Bahamas,2011,female,5-14 years,0,26108,0.0
Bahamas,2011,female,55-74 years,0,26262,0.0
Bahamas,2011,female,75+ years,0,6106,0.0
Bahamas,2011,male,25-34 years,0,28997,0.0
Bahamas,2011,male,5-14 years,0,27054,0.0
Bahamas,2011,male,75+ years,0,3324,0.0
Bahamas,2012,male,15-24 years,2,32716,6.11
Bahamas,2012,male,35-54 years,2,51466,3.89
Bahamas,2012,female,35-54 years,1,54245,1.84
Bahamas,2012,female,15-24 years,0,32430,0.0
Bahamas,2012,female,25-34 years,0,29909,0.0
Bahamas,2012,female,5-14 years,0,25670,0.0
Bahamas,2012,female,55-74 years,0,27444,0.0
Bahamas,2012,female,75+ years,0,6463,0.0
Bahamas,2012,male,25-34 years,0,29740,0.0
Bahamas,2012,male,5-14 years,0,26675,0.0
Bahamas,2012,male,55-74 years,0,23216,0.0
Bahamas,2012,male,75+ years,0,3584,0.0
Bahamas,2013,male,55-74 years,2,24298,8.23
Bahamas,2013,male,35-54 years,2,51912,3.85
Bahamas,2013,female,35-54 years,1,54567,1.83
Bahamas,2013,female,15-24 years,0,32613,0.0
Bahamas,2013,female,25-34 years,0,30751,0.0
Bahamas,2013,female,5-14 years,0,25435,0.0
Bahamas,2013,female,55-74 years,0,28689,0.0
Bahamas,2013,female,75+ years,0,6828,0.0
Bahamas,2013,male,15-24 years,0,32971,0.0
Bahamas,2013,male,25-34 years,0,30545,0.0
Bahamas,2013,male,5-14 years,0,26496,0.0
Bahamas,2013,male,75+ years,0,3854,0.0
Bahrain,2010,male,35-54 years,8,252232,3.17
Bahrain,2010,male,25-34 years,6,235591,2.55
Bahrain,2010,male,55-74 years,1,41999,2.38
Bahrain,2010,female,35-54 years,2,125709,1.59
Bahrain,2010,female,15-24 years,1,80571,1.24
Bahrain,2010,female,25-34 years,1,104368,0.96
Bahrain,2010,female,5-14 years,0,77140,0.0
Bahrain,2010,female,55-74 years,0,27834,0.0
Bahrain,2010,female,75+ years,0,4625,0.0
Bahrain,2010,male,15-24 years,0,103388,0.0
Bahrain,2010,male,5-14 years,0,81414,0.0
Bahrain,2010,male,75+ years,0,4289,0.0
Bahrain,2011,male,15-24 years,3,101695,2.95
Bahrain,2011,male,55-74 years,1,43883,2.28
Bahrain,2011,female,25-34 years,2,98138,2.04
Bahrain,2011,male,25-34 years,4,220691,1.81
Bahrain,2011,male,35-54 years,4,242955,1.65
Bahrain,2011,female,35-54 years,2,123582,1.62
Bahrain,2011,female,15-24 years,1,75788,1.32
Bahrain,2011,female,5-14 years,1,77270,1.29
Bahrain,2011,female,55-74 years,0,29140,0.0
Bahrain,2011,female,75+ years,0,4742,0.0
Bahrain,2011,male,5-14 years,0,81209,0.0
Bahrain,2011,male,75+ years,0,4369,0.0
Bahrain,2012,male,25-34 years,11,237133,4.64
Bahrain,2012,male,35-54 years,6,268027,2.24
Bahrain,2012,female,25-34 years,1,110796,0.9
Bahrain,2012,male,15-24 years,1,111603,0.9
Bahrain,2012,female,15-24 years,0,81091,0.0
Bahrain,2012,female,35-54 years,0,135976,0.0
Bahrain,2012,female,5-14 years,0,81275,0.0
Bahrain,2012,female,55-74 years,0,31641,0.0
Bahrain,2012,female,75+ years,0,4548,0.0
Bahrain,2012,male,5-14 years,0,85538,0.0
Bahrain,2012,male,55-74 years,0,50001,0.0
Bahrain,2012,male,75+ years,0,4149,0.0
Bahrain,2013,male,15-24 years,1,110064,0.91
Bahrain,2013,male,25-34 years,2,237632,0.84
Bahrain,2013,male,35-54 years,2,269162,0.74
Bahrain,2013,female,15-24 years,0,80476,0.0
Bahrain,2013,female,25-34 years,0,112513,0.0
Bahrain,2013,female,35-54 years,0,139352,0.0
Bahrain,2013,female,5-14 years,0,82726,0.0
Bahrain,2013,female,55-74 years,0,33780,0.0
Bahrain,2013,female,75+ years,0,4859,0.0
Bahrain,2013,male,5-14 years,0,86269,0.0
Bahrain,2013,male,55-74 years,0,53308,0.0
Bahrain,2013,male,75+ years,0,4351,0.0
Bahrain,2014,male,15-24 years,4,100635,3.97
Bahrain,2014,male,25-34 years,3,237952,1.26
Bahrain,2014,female,25-34 years,1,110838,0.9
